GEO_ID,NAME,P1_001N
1500000US421010040023,"Block Group 3, Census Tract 40.02, Philadelphia County, Pennsylvania",1242
1500000US421010040024,"Block Group 4, Census Tract 40.02, Philadelphia County, Pennsylvania",1068
1500000US421010041011,"Block Group 1, Census Tract 41.01, Philadelphia County, Pennsylvania",835
1500000US421010041012,"Block Group 2, Census Tract 41.01, Philadelphia County, Pennsylvania",937
1500000US421010041013,"Block Group 3, Census Tract 41.01, Philadelphia County, Pennsylvania",3269
1500000US421010041014,"Block Group 4, Census Tract 41.01, Philadelphia County, Pennsylvania",1142
1500000US421010041015,"Block Group 5, Census Tract 41.01, Philadelphia County, Pennsylvania",983
1500000US421010041031,"Block Group 1, Census Tract 41.03, Philadelphia County, Pennsylvania",1705
1500000US421010041032,"Block Group 2, Census Tract 41.03, Philadelphia County, Pennsylvania",2568
1500000US421010041041,"Block Group 1, Census Tract 41.04, Philadelphia County, Pennsylvania",1465
1500000US421010041042,"Block Group 2, Census Tract 41.04, Philadelphia County, Pennsylvania",3096
1500000US421010042011,"Block Group 1, Census Tract 42.01, Philadelphia County, Pennsylvania",711
1500000US421010042012,"Block Group 2, Census Tract 42.01, Philadelphia County, Pennsylvania",2100
1500000US421010042013,"Block Group 3, Census Tract 42.01, Philadelphia County, Pennsylvania",786
1500000US421010042014,"Block Group 4, Census Tract 42.01, Philadelphia County, Pennsylvania",1690
1500000US421010042021,"Block Group 1, Census Tract 42.02, Philadelphia County, Pennsylvania",1514
1500000US421010042022,"Block Group 2, Census Tract 42.02, Philadelphia County, Pennsylvania",1465
1500000US421010042023,"Block Group 3, Census Tract 42.02, Philadelphia County, Pennsylvania",1413
1500000US421010042024,"Block Group 4, Census Tract 42.02, Philadelphia County, Pennsylvania",869
1500000US421010054001,"Block Group 1, Census Tract 54, Philadelphia County, Pennsylvania",1191
1500000US421010055001,"Block Group 1, Census Tract 55, Philadelphia County, Pennsylvania",1955
1500000US421010055002,"Block Group 2, Census Tract 55, Philadelphia County, Pennsylvania",1021
1500000US421010055003,"Block Group 3, Census Tract 55, Philadelphia County, Pennsylvania",917
1500000US421010055004,"Block Group 4, Census Tract 55, Philadelphia County, Pennsylvania",1605
1500000US421010056001,"Block Group 1, Census Tract 56, Philadelphia County, Pennsylvania",1061
1500000US421010060001,"Block Group 1, Census Tract 60, Philadelphia County, Pennsylvania",2332
1500000US421010060002,"Block Group 2, Census Tract 60, Philadelphia County, Pennsylvania",1403
1500000US421010060003,"Block Group 3, Census Tract 60, Philadelphia County, Pennsylvania",775
1500000US421010060004,"Block Group 4, Census Tract 60, Philadelphia County, Pennsylvania",1371
1500000US421010060005,"Block Group 5, Census Tract 60, Philadelphia County, Pennsylvania",726
1500000US421010061001,"Block Group 1, Census Tract 61, Philadelphia County, Pennsylvania",2271
1500000US421010061002,"Block Group 2, Census Tract 61, Philadelphia County, Pennsylvania",1109
1500000US421010062001,"Block Group 1, Census Tract 62, Philadelphia County, Pennsylvania",1036
1500000US421010062002,"Block Group 2, Census Tract 62, Philadelphia County, Pennsylvania",991
1500000US421010062003,"Block Group 3, Census Tract 62, Philadelphia County, Pennsylvania",913
1500000US421010062004,"Block Group 4, Census Tract 62, Philadelphia County, Pennsylvania",1558
1500000US421010063001,"Block Group 1, Census Tract 63, Philadelphia County, Pennsylvania",686
1500000US421010063002,"Block Group 2, Census Tract 63, Philadelphia County, Pennsylvania",965
1500000US421010063003,"Block Group 3, Census Tract 63, Philadelphia County, Pennsylvania",902
1500000US421010063004,"Block Group 4, Census Tract 63, Philadelphia County, Pennsylvania",1469
1500000US421010064001,"Block Group 1, Census Tract 64, Philadelphia County, Pennsylvania",1340
1500000US421010064002,"Block Group 2, Census Tract 64, Philadelphia County, Pennsylvania",1235
1500000US421010064003,"Block Group 3, Census Tract 64, Philadelphia County, Pennsylvania",1974
1500000US421010065001,"Block Group 1, Census Tract 65, Philadelphia County, Pennsylvania",1486
1500000US421010065002,"Block Group 2, Census Tract 65, Philadelphia County, Pennsylvania",1167
1500000US421010065003,"Block Group 3, Census Tract 65, Philadelphia County, Pennsylvania",2010
1500000US421010066001,"Block Group 1, Census Tract 66, Philadelphia County, Pennsylvania",875
1500000US421010066002,"Block Group 2, Census Tract 66, Philadelphia County, Pennsylvania",1233
1500000US421010066003,"Block Group 3, Census Tract 66, Philadelphia County, Pennsylvania",1484
1500000US421010067001,"Block Group 1, Census Tract 67, Philadelphia County, Pennsylvania",1413
1500000US421010067002,"Block Group 2, Census Tract 67, Philadelphia County, Pennsylvania",1290
1500000US421010067003,"Block Group 3, Census Tract 67, Philadelphia County, Pennsylvania",2942
1500000US421010067004,"Block Group 4, Census Tract 67, Philadelphia County, Pennsylvania",1805
1500000US421010070001,"Block Group 1, Census Tract 70, Philadelphia County, Pennsylvania",932
1500000US421010070002,"Block Group 2, Census Tract 70, Philadelphia County, Pennsylvania",714
1500000US421010070003,"Block Group 3, Census Tract 70, Philadelphia County, Pennsylvania",824
1500000US421010070004,"Block Group 4, Census Tract 70, Philadelphia County, Pennsylvania",614
1500000US421010070005,"Block Group 5, Census Tract 70, Philadelphia County, Pennsylvania",808
1500000US421010071011,"Block Group 1, Census Tract 71.01, Philadelphia County, Pennsylvania",822
1500000US421010071012,"Block Group 2, Census Tract 71.01, Philadelphia County, Pennsylvania",888
1500000US421010071013,"Block Group 3, Census Tract 71.01, Philadelphia County, Pennsylvania",727
1500000US421010071021,"Block Group 1, Census Tract 71.02, Philadelphia County, Pennsylvania",972
1500000US421010071022,"Block Group 2, Census Tract 71.02, Philadelphia County, Pennsylvania",1161
1500000US421010071023,"Block Group 3, Census Tract 71.02, Philadelphia County, Pennsylvania",922
1500000US421010071024,"Block Group 4, Census Tract 71.02, Philadelphia County, Pennsylvania",827
1500000US421010071025,"Block Group 5, Census Tract 71.02, Philadelphia County, Pennsylvania",792
1500000US421010072001,"Block Group 1, Census Tract 72, Philadelphia County, Pennsylvania",891
1500000US421010072002,"Block Group 2, Census Tract 72, Philadelphia County, Pennsylvania",728
1500000US421010072003,"Block Group 3, Census Tract 72, Philadelphia County, Pennsylvania",572
1500000US421010072004,"Block Group 4, Census Tract 72, Philadelphia County, Pennsylvania",640
1500000US421010072005,"Block Group 5, Census Tract 72, Philadelphia County, Pennsylvania",743
1500000US421010072006,"Block Group 6, Census Tract 72, Philadelphia County, Pennsylvania",928
1500000US421010073001,"Block Group 1, Census Tract 73, Philadelphia County, Pennsylvania",900
1500000US421010073002,"Block Group 2, Census Tract 73, Philadelphia County, Pennsylvania",782
1500000US421010073003,"Block Group 3, Census Tract 73, Philadelphia County, Pennsylvania",645
1500000US421010073004,"Block Group 4, Census Tract 73, Philadelphia County, Pennsylvania",880
1500000US421010074001,"Block Group 1, Census Tract 74, Philadelphia County, Pennsylvania",659
1500000US421010074002,"Block Group 2, Census Tract 74, Philadelphia County, Pennsylvania",720
1500000US421010074003,"Block Group 3, Census Tract 74, Philadelphia County, Pennsylvania",725
1500000US421010074004,"Block Group 4, Census Tract 74, Philadelphia County, Pennsylvania",1471
1500000US421010074005,"Block Group 5, Census Tract 74, Philadelphia County, Pennsylvania",650
1500000US421010077001,"Block Group 1, Census Tract 77, Philadelphia County, Pennsylvania",1667
1500000US421010077002,"Block Group 2, Census Tract 77, Philadelphia County, Pennsylvania",635
1500000US421010078001,"Block Group 1, Census Tract 78, Philadelphia County, Pennsylvania",893
1500000US421010078002,"Block Group 2, Census Tract 78, Philadelphia County, Pennsylvania",543
